Helper,Subject,Topic,Category,Question,Cluttered,Decluttered,Focused
3Car,3,Car,AESTHETIC,unprofessional,0,0,0
3Car,3,Car,AESTHETIC,cluttered,0,0,0
3Car,3,Car,AESTHETIC,boring,0,0,0
3Car,3,Car,INFORMATION,likes info,0,0,1
3Car,3,Car,INFORMATION,clear info,0,0,0
3Car,3,Car,INFORMATION,has purpose,0,0,1
3Car,3,Car,INFORMATION,disliked info,0,1,0
3Car,3,Car,INFORMATION,no purpose,0,1,0
3Car,3,Car,INFORMATION,not enough info,0,0,0
3Car,3,Car,INFORMATION,too much info,0,0,0
3Car,3,Car,EMPHASIS,likes emphasis,0,0,0
3Car,3,Car,EMPHASIS,disliked emphasis,0,0,0
3Plant,3,Plant,COLOR,likes color,0,0,1
3Plant,3,Plant,COLOR,clear color,0,0,1
3Plant,3,Plant,COLOR,disliked color,0,0,0
3Plant,3,Plant,COLOR,not enough colors,0,0,0
3Plant,3,Plant,COLOR,too many colors,0,0,0
3Plant,3,Plant,AESTHETIC,likes aesthetic,0,0,1
3Plant,3,Plant,AESTHETIC,easy to read,0,0,1
3Plant,3,Plant,AESTHETIC,professional,1,0,0
3Plant,3,Plant,AESTHETIC,disliked aesthetic,1,0,0
3Plant,3,Plant,AESTHETIC,unprofessional,1,0,0
3Plant,3,Plant,AESTHETIC,cluttered,0,0,0
3Plant,3,Plant,AESTHETIC,boring,0,0,0
3Plant,3,Plant,INFORMATION,likes info,1,0,1
3Plant,3,Plant,INFORMATION,clear info,1,0,1
3Plant,3,Plant,INFORMATION,has purpose,0,0,1
3Plant,3,Plant,INFORMATION,disliked info,0,1,0
3Plant,3,Plant,INFORMATION,no purpose,0,1,0
3Plant,3,Plant,INFORMATION,not enough info,0,0,0
3Plant,3,Plant,INFORMATION,too much info,0,0,0
3Plant,3,Plant,EMPHASIS,likes emphasis,0,0,0
3Plant,3,Plant,EMPHASIS,disliked emphasis,0,0,0
4Prison,4,Prison,COLOR,likes color,1,0,0
4Prison,4,Prison,COLOR,clear color,0,0,0
4Prison,4,Prison,COLOR,disliked color,0,0,0
4Prison,4,Prison,COLOR,not enough colors,0,0,0
4Prison,4,Prison,COLOR,too many colors,0,0,0
4Prison,4,Prison,AESTHETIC,likes aesthetic,0,1,0
4Prison,4,Prison,AESTHETIC,easy to read,0,0,0
4Prison,4,Prison,AESTHETIC,professional,0,1,0
4Prison,4,Prison,AESTHETIC,disliked aesthetic,1,0,0
4Prison,4,Prison,AESTHETIC,unprofessional,0,0,0
4Prison,4,Prison,AESTHETIC,cluttered,1,0,0
4Prison,4,Prison,AESTHETIC,boring,0,0,0
4Prison,4,Prison,INFORMATION,likes info,0,0,0
4Prison,4,Prison,INFORMATION,clear info,0,0,0
4Prison,4,Prison,INFORMATION,has purpose,0,0,0
4Prison,4,Prison,INFORMATION,disliked info,0,0,0
4Prison,4,Prison,INFORMATION,no purpose,0,0,0
4Prison,4,Prison,INFORMATION,not enough info,0,0,0
4Prison,4,Prison,INFORMATION,too much info,0,0,0
4Prison,4,Prison,EMPHASIS,likes emphasis,0,0,0
4Prison,4,Prison,EMPHASIS,disliked emphasis,0,0,0
4News,4,News,COLOR,likes color,0,0,0
4News,4,News,COLOR,clear color,0,0,0
4News,4,News,COLOR,disliked color,0,0,0
4News,4,News,COLOR,not enough colors,0,0,0
4News,4,News,COLOR,too many colors,0,0,0
4News,4,News,AESTHETIC,likes aesthetic,1,0,0
4News,4,News,AESTHETIC,easy to read,0,0,0
4News,4,News,AESTHETIC,professional,0,0,0
4News,4,News,AESTHETIC,disliked aesthetic,1,0,0
4News,4,News,AESTHETIC,unprofessional,0,0,0
4News,4,News,AESTHETIC,cluttered,1,0,0
4News,4,News,AESTHETIC,boring,0,0,0
4News,4,News,INFORMATION,likes info,0,0,1
4News,4,News,INFORMATION,clear info,0,0,0
4News,4,News,INFORMATION,has purpose,0,0,0
4News,4,News,INFORMATION,disliked info,0,0,0
4News,4,News,INFORMATION,no purpose,0,0,0
4News,4,News,INFORMATION,not enough info,0,0,0
4News,4,News,INFORMATION,too much info,0,0,0
4News,4,News,EMPHASIS,likes emphasis,0,0,1
4News,4,News,EMPHASIS,disliked emphasis,0,0,0
4Tires,4,Tires,COLOR,likes color,0,0,0
4Tires,4,Tires,COLOR,clear color,0,0,0
4Tires,4,Tires,COLOR,disliked color,0,0,0
4Tires,4,Tires,COLOR,not enough colors,0,0,0
4Tires,4,Tires,COLOR,too many colors,0,0,0
4Tires,4,Tires,AESTHETIC,likes aesthetic,1,0,0
4Tires,4,Tires,AESTHETIC,easy to read,0,0,0
4Tires,4,Tires,AESTHETIC,professional,1,0,0
4Tires,4,Tires,AESTHETIC,disliked aesthetic,0,0,0
4Tires,4,Tires,AESTHETIC,unprofessional,0,0,0
4Tires,4,Tires,AESTHETIC,cluttered,0,0,0
4Tires,4,Tires,AESTHETIC,boring,0,0,0
4Tires,4,Tires,INFORMATION,likes info,0,0,1
4Tires,4,Tires,INFORMATION,clear info,0,0,0
4Tires,4,Tires,INFORMATION,has purpose,0,0,1
4Tires,4,Tires,INFORMATION,disliked info,0,0,0
4Tires,4,Tires,INFORMATION,no purpose,0,0,0
4Tires,4,Tires,INFORMATION,not enough info,0,0,0
4Tires,4,Tires,INFORMATION,too much info,0,0,0
4Tires,4,Tires,EMPHASIS,likes emphasis,0,0,0
4Tires,4,Tires,EMPHASIS,disliked emphasis,0,0,0
4Holiday,4,Holiday,COLOR,likes color,0,0,0
4Holiday,4,Holiday,COLOR,clear color,0,0,0
4Holiday,4,Holiday,COLOR,disliked color,0,0,0
4Holiday,4,Holiday,COLOR,not enough colors,0,0,0
4Holiday,4,Holiday,COLOR,too many colors,0,0,0
4Holiday,4,Holiday,AESTHETIC,likes aesthetic,1,0,0
4Holiday,4,Holiday,AESTHETIC,easy to read,0,0,0
4Holiday,4,Holiday,AESTHETIC,professional,0,0,0
4Holiday,4,Holiday,AESTHETIC,disliked aesthetic,1,0,0
4Holiday,4,Holiday,AESTHETIC,unprofessional,0,0,0
4Holiday,4,Holiday,AESTHETIC,cluttered,0,0,0
4Holiday,4,Holiday,AESTHETIC,boring,0,0,0
4Holiday,4,Holiday,INFORMATION,likes info,0,0,0
4Holiday,4,Holiday,INFORMATION,clear info,0,0,0
4Holiday,4,Holiday,INFORMATION,has purpose,0,0,0
4Holiday,4,Holiday,INFORMATION,disliked info,0,0,0
4Holiday,4,Holiday,INFORMATION,no purpose,0,0,0
4Holiday,4,Holiday,INFORMATION,not enough info,0,0,0
4Holiday,4,Holiday,INFORMATION,too much info,0,0,0
4Holiday,4,Holiday,EMPHASIS,likes emphasis,0,0,0
4Holiday,4,Holiday,EMPHASIS,disliked emphasis,0,0,1
4Car,4,Car,COLOR,likes color,0,0,0
4Car,4,Car,COLOR,clear color,0,0,0
4Car,4,Car,COLOR,disliked color,0,0,0
4Car,4,Car,COLOR,not enough colors,0,0,0
4Car,4,Car,COLOR,too many colors,0,0,0
4Car,4,Car,AESTHETIC,likes aesthetic,0,0,0
4Car,4,Car,AESTHETIC,easy to read,0,0,0
4Car,4,Car,AESTHETIC,professional,0,0,0
4Car,4,Car,AESTHETIC,disliked aesthetic,1,0,0
4Car,4,Car,AESTHETIC,unprofessional,0,0,0
4Car,4,Car,AESTHETIC,cluttered,1,0,0
4Car,4,Car,AESTHETIC,boring,0,0,0
4Car,4,Car,INFORMATION,likes info,0,0,0
4Car,4,Car,INFORMATION,clear info,0,0,0
4Car,4,Car,INFORMATION,has purpose,0,0,0
4Car,4,Car,INFORMATION,disliked info,0,0,0
4Car,4,Car,INFORMATION,no purpose,0,0,0
4Car,4,Car,INFORMATION,not enough info,0,0,0
4Car,4,Car,INFORMATION,too much info,0,0,0
4Car,4,Car,EMPHASIS,likes emphasis,0,0,0
4Car,4,Car,EMPHASIS,disliked emphasis,0,0,1
4Plant,4,Plant,COLOR,likes color,0,1,0
4Plant,4,Plant,COLOR,clear color,0,0,0
