topic,design,question,s1,s2,s4,s5,s7,s8,s9,s10,s11,s14,s15,s16,s17,s18,s19,s21,s28,s29,s30,s31,s32,s33,s34
Car,Decluttered,Professionalism,3,4,5,4,2,3,5,5,4,3,4,5,5,4,4,5,4,4,5,5,4,3,5
Car,Decluttered,Trustworthiness,4,4,5,3,3,5,5,5,4,2,5,5,5,5,4,5,4,4,5,4,3,3,5
Car,Focused,Aesthetic,2,5,3,4,5,4,5,5,4,2,5,5,5,4,4,5,5,4,5,4,4,4,5
Car,Focused,Clarity,4,5,5,4,5,5,5,5,5,3,5,5,5,4,5,5,5,4,5,5,4,5,5
Car,Focused,Professionalism,3,5,3,5,5,5,5,5,5,4,5,4,5,4,5,5,5,4,5,5,4,5,5
Car,Focused,Trustworthiness,4,5,5,5,3,5,5,3,4,3,5,3,5,5,5,5,5,4,5,4,3,5,2
Car,Cluttered,Aesthetic,2,2,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,2,1,1,1,2,1
Car,Cluttered,Clarity,2,2,5,3,3,3,2,2,3,1,2,5,2,4,2,1,2,3,4,2,1,2,1
Car,Cluttered,Professionalism,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,3,1,1,1,2,1
Car,Cluttered,Trustworthiness,2,2,3,2,3,4,1,3,3,2,4,3,2,1,2,2,2,3,2,1,1,1,4
Plants,Focused,Aesthetic,4,4,3,4,5,4,5,5,4,3,4,5,5,4,5,5,5,4,4,4,2,4,5
Plants,Focused,Clarity,4,5,4,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5
Plants,Focused,Professionalism,4,5,2,4,5,5,4,5,5,4,5,5,5,5,5,4,4,4,5,5,2,5,5
Plants,Focused,Trustworthiness,4,5,1,4,5,4,5,4,5,4,4,5,5,3,5,5,5,4,5,4,3,5,2
Plants,Decluttered,Aesthetic,3,3,5,2,2,2,3,3,3,2,3,4,3,4,4,2,4,2,4,2,1,3,3
Plants,Decluttered,Clarity,3,4,3,3,2,2,4,3,3,3,,4,5,4,4,4,4,3,5,4,2,4,1
Plants,Decluttered,Professionalism,3,4,5,3,2,4,4,3,4,2,3,4,4,5,5,2,4,3,4,3,1,3,4
Plants,Decluttered,Trustworthiness,4,4,5,2,3,3,5,3,3,3,4,4,4,3,4,5,4,4,5,3,2,4,5
Plants,Cluttered,Aesthetic,2,5,1,3,2,3,1,1,1,2,4,2,3,2,1,1,1,5,1,3,4,1,1
Plants,Cluttered,Clarity,2,5,5,3,2,3,4,2,2,3,,2,4,2,4,5,2,5,5,4,4,3,3
Plants,Cluttered,Professionalism,2,3,1,2,3,3,1,1,1,1,4,2,2,1,3,1,1,4,1,2,3,1,1
Plants,Cluttered,Trustworthiness,3,4,3,2,3,3,2,2,2,2,4,2,2,3,1,5,2,4,5,2,3,2,4
